time,R_est,theta_deg,Q_F,Q_L,Q_R,chosen_action,chosen_action_name,front_state,front_min_depth_m,front_invalid_ratio,left_depth,center_depth,right_depth,left_invalid_ratio,center_invalid_ratio,right_invalid_ratio,left_danger,center_danger,right_danger,target_visible,target_like_front_object,depth_avoidance_active,disable_avoidance_near_target,ignore_invalids_near_target,s_forward_step,dpsi_step_deg,reward
1778602481.787093,5.191886,11.91749,7.6467085,7.8034678,7.576812,1,L,SAFE,1.425,0.21004050925925927,0.892,0.882,0.877,0.28618935837245696,0.3047975352112676,0.35110007788161995,0.18602308294209702,0.23630021606914217,0.22940823244123484,1,0,0,0,0,0.0,-0.029785137199496603,0.06683001995086671
1778602481.9859352,4.9941077,20.307428,10.032962,10.181337,10.194867,2,R,SAFE,1.406,0.1976417824074074,0.86,0.872,0.859,0.3114485524256651,0.3114485524256651,0.3382009345794392,0.2103961045312278,0.24415873079385406,0.22818288020390826,1,0,0,0,0,0.0007968917950569232,0.0,0.15570537805557255
1778602482.2421455,5.195109,18.440025,10.323467,10.21655,10.426585,2,R,SAFE,1.441,0.19401041666666666,0.86,0.886,0.884,0.29191118935837246,0.3114241001564945,0.3538989485981308,0.1976968185374876,0.23919334186939822,0.23003431658878504,1,0,0,0,0,0.0007968917950569232,0.0,-0.29801724910736094
1778602482.4616878,5.1826444,13.051908,10.490752,10.406121,10.601849,2,R,SAFE,1.475,0.19155092592592593,0.907,0.89,0.875,0.282179186228482,0.31660798122065725,0.36533781152647976,0.1834164710485133,0.24114872314696262,0.23945821385584826,0,0,0,0,0,0.0,0.0,0.095454580783844
1778602482.653357,5.229451,-0.049380787,7.733839,7.9104633,7.972005,2,R,SAFE,1.859,0.21312210648148147,0.895,0.897,0.85,0.33377347417840375,0.3475645539906103,0.31914427570093457,0.21695275821596244,0.2587957479726846,0.2193755973874257,1,0,0,0,0,0.0,0.026864684630211855,-0.3147385954856873
1778602482.8441677,5.262298,-5.3389344,10.2753935,10.153052,9.924859,0,F,SAFE,1.441,0.20364583333333333,0.895,0.879,0.862,0.37182120500782473,0.3333333333333333,0.2361029984423676,0.24168378325508608,0.2559090909090909,0.16062603989662988,0,0,0,0,0,0.0027891212826992307,0.012620420187161585,0.876785933971405
1778602483.044643,5.2523794,-4.899613,7.4817343,7.6656303,7.407722,1,L,SAFE,1.375,0.1849537037037037,0.909,0.9,0.866,0.37539123630672927,0.31259780907668233,0.15345112928348908,0.24400430359937403,0.23500675771802537,0.10531141585244977,0,0,0,0,0,0.002789121282699231,-0.007841997413624568,-0.1450679898262024
1778602483.316261,5.244606,-9.294197,7.364961,7.553706,7.2854834,1,L,SAFE,1.493,0.19367766203703704,0.909,0.892,0.872,0.35426447574334896,0.3312304381846635,0.23082165109034267,0.23027190923317684,0.24994624946649596,0.15321589139054098,1,0,0,0,0,0.0015937835901138463,0.0,-0.07059778213500978
1778602483.5072906,5.2369385,-9.307926,10.534703,10.513584,10.309434,0,F,SAFE,1.878,0.20868055555555556,0.897,0.89,0.856,0.3440678794992175,0.3272936228482003,0.3532904984423676,0.2236441216744914,0.2480943902048656,0.23918427853299354,0,0,0,0,0,0.0033867901289919232,0.0,-0.15315257549285888
1778602483.72515,5.2245483,-9.067396,8.050698,8.207541,8.035563,1,L,SAFE,2.391,0.2041521990740741,0.895,0.88,0.877,0.3146273474178404,0.30298806729264477,0.34153524143302183,0.20450777582159624,0.23583113262910801,0.22319108874964608,0,0,0,0,0,0.003785236026520385,0.0,0.02027992248535156
